Start,End,Subdivision 1,Segment 1,Begin MP 1,End MP 1,Subdivision 2,Segment 2,Begin MP 2,End MP 2,Subdivision 3,Segment 3,Begin MP 3,End MP 3,Subdivision 4,Segment 4,Begin MP 4,End MP 4,Subdivision 5,Segment 5,Begin MP 5,End MP 5
Everett,"Vancouver, CA",Bellingham,50,32.1,119.6,New Westminster,56,119.6,156.6,,,,,,,,,,,,
Interbay,Wenatchee,Scenic,50,4.9,32.16,Scenic,37,1784.68,1650.2,,,,,,,,,,,,
Interbay,"Vancouver, WA",Seattle,51,4.9,40.11,Seattle,52,0,136.5,,,,,,,,,,,,
Interbay,Ellensburg,Scenic,50,4.9,0,Seattle,51,0,21.5,Stampede,49,103,0,,,,,,,,
Tacoma,Ellensburg,Seattle,51,39.3,21.5,Stampede,49,102.9,0,,,,,,,,,,,,
Pasco,Ellensburg,Yakima Valley,48,0,127,,,,,,,,,,,,,,,,
Spokane,Wenatchee,Spokane,47,0,1.1,Columbia River,37,1481,1650.2,,,,,,,,,,,,
Spokane,Pasco,Lakeside,46,0,145,Lakeside,48,145,145.6,,,,,,,,,,,,
"Vancouver, WA",Pasco,Fallbridge,47,9.9,231.4,,,,,,,,,,,,,,,,
Wishram,Pasco,Wishram,47,106.1,231.4,,,,,,,,,,,,,,,,
Wishram,Bend,Oregon Trunk,53,0,151.9,,,,,,,,,,,,,,,,
Bend,Klamath Falls,Oregon Trunk,54,0,67.8,,,,,,,,,,,,,,,,
Klamath Falls,Keddie,Gateway,55,1,202.8,,,,,,,,,,,,,,,,
Fresno,Bakersfield,Stockton,7200,998.1,994.9,Bakersfield,7200,994.9,887.7,,,,,,,,,,,,
Bakersfield,Barstow,Bakersfield,7200,887.7,885.2,Mojave,7200,313.6,749A,Cajon,7600,3.4,0,,,,,,,,
Los Angeles,Barstow,San Bernardino,7602,143.2,165.44,San Bernardino,7602,45.56,0,Cajon,7600,81.3,0,,,,,,,,
San Bernardino,Barstow,Cajon,7600,81.3,0,,,,,,,,,,,,,,,,
San Bernardino,San Diego,San Bernardino,7602,0,45.56,San Diego,7600,165,267.5,,,,,,,,,,,,
Needles,Barstow,Needles,7200,578,745.9,,,,,,,,,,,,,,,,
Richmond,Fresno,Stockton,7200,1189,998.1,,,,,,,,,,,,,,,,
Needles,Winslow,Seligman,7200,578,286.2,,,,,,,,,,,,,,,,
Winslow,Belen,Gallup,7200,286.2,0,,,,,,,,,,,,,,,,
Belen,Clovis,Clovis,7100,897.6,657.6,,,,,,,,,,,,,,,,
Albequerque,Raton,Glorieta,7300,902.3,770.1,Raton,7300,770.1,659.5,,,,,,,,,,,,
Sweetwater,Temple,Slaton,7508,459.6,455,Lampasas,7508,455,218.1,,,,,,,,,,,,
Sweetwater,Fort Worth,Slaton,7508,459.6,455,,,,,,,,,,,,,,,,
Temple,Gainesville,Ft. Worth,7500,218.2,411.3,,,,,,,,,,,,,,,,
Temple,Galveston,Galveston,7500,218.2,2.2,,,,,,,,,,,,,,,,
Temple,Houston,Galveston,7500,218.2,65.8,,,,,,,,,,,,,,,,
Temple,Silsbee,Galveston,7500,218.2,141.4,Conroe,7502,0,152.2,,,,,,,,,,,,
Gainesville,Arkansas City,Red Rock,7500,411.3,517.5,Red Rock,7400,417.3,263.4,,,,,,,,,,,,
Amarillo,Wichita Falls,Red River Valley,485,335.7,118.4,Wichita Falls,485,118.4,114.1,,,,,,,,,,,,
Amarillo,Enid,Panhandle,7100,554.4,335.9,,,,,,,,,,,,,,,,
Amarillo,Wellington,Panhandle,7100,554.4,238,,,,,,,,,,,,,,,,
Amarillo,La Junta,Boise City,7105,0,235.5,La Junta,7300,533.6,555,,,,,,,,,,,,
Pueblo,La Junta,Pueblo,7304,617.7,554.9,,,,,,,,,,,,,,,,
Chicago,North La Crosse,Chicago,71,0,38.4,Aurora,3,38.4,300.2,,,,,,,,,,,,
Galesburg,North La Crosse,Barstow,6,1,96.7,Aurora,3,142.3,300.2,,,,,,,,,,,,
Galesburg,Brookfield,Brookfield,11,162.4,263.4,Hannibal,15,136.9,134.1,Brookfield,15,5.7,104.1,,,,,,,,
Galesburg,Kansas City,Brookfield,11,162.4,263.4,Hannibal,15,136.9,134.1,Brookfield,15,5.7,177.7,Brookfield,17,216.2,224.6,,,,
Ft. Madison,Kansas City,Marceline,7000,234.3,444.2,,,,,,,,,,,,,,,,
Kansas City,Lincoln,St. Joseph,16,0.4,97.4,St. Joseph,3000,97.4,207.9,,,,,,,,,,,,
Creston,Lincoln,Creston,1,392.9,475.1,Creston,2,0,60,,,,,,,,,,,,
McCook,Lincoln,Hastings,2,287.8,59.6,,,,,,,,,,,,,,,,
McCook,Denver,Akron,2,287.8,454.9,Brush,2,454.9,542.1,,,,,,,,,,,,
Sterling,Denver,UP,21,57.5,81.1,Brush,21,138.6,150,Brush,2,454.9,542.1,,,,,,,,
Sterling,Alliance,Angora,21,115.1,0.3,,,,,,,,,,,,,,,,
Cheyenne,Casper,Canyon,5,103.3,133.2,Casper,5,133.2,202.2,,,,,,,,,,,,
Casper,Greybull,Casper,5,202.2,403.9,,,,,,,,,,,,,,,,
Sheridan,Forsyth,Big Horn,4,698.6,825.1,Forsyth,40,209.9,123.8,,,,,,,,,,,,
East Dilworth,Northtown,Staples,25,250.3,13.9,,,,,,,,,,,,,,,,
East Dilworth,Willmar,Moorhead,22,216.95,212.35,Morris,22,212.3,102.3,,,,,,,,,,,,
East Dilworth,Mandan,KO,25,250.3,251.1,KO,26,0,31.06,Jamestown,26,31.2,200.3,,,,,,,,
East Dilworth,Minot,KO,25,250.3,251.1,KO,26,0,31.06,KO,24,3,24.3,KO,34,41,226,KO,33,196.22,203.2
Grand Forks,Minot,Grand Forks,32,109.9,111.4,Devils Lake,33,0.4,196.3,KO,33,196.3,203.2,,,,,,,,
Glasgow,Minot,Glasgow,35,277.5,0,,,,,,,,,,,,,,,,
Whitefish,Havre,Hi Line,36,1217.5,964,Milk River,35,434,430.4,,,,,,,,,,,,
Whitefish,Spokane,Kootenai River,36,1217.5,1403.3,Kootenai River,45,2.9,28.84,Kootenai River,45,30.84,71.5,,,,,,,,
Everett,"Vancouver, CA",Bellingham,50,32.1,119.6,New Westminster,56,119.6,156.6,,,,,,,,,,,,
Interbay,Wenatchee,Scenic,50,0,32.1,Scenic,37,1784,1650,,,,,,,,,,,,
Interbay,"Vancouver, WA",Seattle,51,0,40,Seattle,52,0,137,,,,,,,,,,,,
Interbay,Ellensburg,Seattle,51,0,22,Stampede,49,103,0,,,,,,,,,,,,
Tacoma,Ellensburg,Seattle,51,40,22,Stampede,49,103,0,,,,,,,,,,,,
Pasco,Ellensburg,Lakeside,46,0,2,Yakima Valley,48,2,127,,,,,,,,,,,,
Spokane,Wenatchee,Columbia River,37,1480,1650,,,,,,,,,,,,,,,,
Spokane,Pasco,Lakeside,46,0,146,,,,,,,,,,,,,,,,
"Vancouver, WA",Pasco,Fallbridge,47,9.9,229.7,Lakeside,46,2,0,,,,,,,,,,,,
Wishram,Pasco,Wishram,47,106,230,Lakeside,46,2,0,,,,,,,,,,,,
Wishram,Bend,Oregon Trunk,53,0,152,,,,,,,,,,,,,,,,
Bend,Klamath Falls,Oregon Trunk,54,0,67.8,,,,,,,,,,,,,,,,
Klamath Falls,Keddie,Gateway,55,0,202.8,,,,,,,,,,,,,,,,
Fresno,Bakersfield,Stockton,7200,998.1,994.9,Bakersfield,7200,995,888,,,,,,,,,,,,
Bakersfield,Barstow,Bakersfield,7200,888,885.2,Majove,7200,313.6,745.9,,,,,,,,,,,,
Los Angeles,Barstow,San Bernardino,7602,0,143,Cajon,7600,82,0,,,,,,,,,,,,
San Bernardino,Barstow,Cajon,7600,82,0,,,,,,,,,,,,,,,,
San Bernardino,San Diego,San Bernardino,7602,0,41,San Diego,7600,41,268,,,,,,,,,,,,
Needles,Barstow,Needles,7200,578,746,,,,,,,,,,,,,,,,
Richmond,Fresno,Stockton,7200,1189,998.1,,,,,,,,,,,,,,,,
Needles,Winslow,Seligman,7200,578,286,,,,,,,,,,,,,,,,
Winslow,Belen,Gallup,7200,286,0,,,,,,,,,,,,,,,,
Belen,Clovis,Clovis,7100,898,658,,,,,,,,,,,,,,,,
Albequerque,Raton,Glorieta,7300,902,770,Raton,7300,770.1,659.5,,,,,,,,,,,,
Sweetwater,Temple,Slaton,7106,460,455,Lampasas,7508,455,218,,,,,,,,,,,,
Sweetwater,Fort Worth,Slaton,7106,460,455,,,,,,,,,,,,,,,,
Temple,Gainesville,Galveston,7500,218,221,Ft. Worth,7500,221,411,,,,,,,,,,,,
Temple,Galveston,Galveston,7500,218,2,,,,,,,,,,,,,,,,
Temple,Houston,Galveston,7500,218,65,,,,,,,,,,,,,,,,
Temple,Silsbee,Galveston,7500,218,141,,,,,,,,,,,,,,,,
Gainesville,Arkansas City,Red Rock,7500,411.3,517.5,Red Rock,7400,417.3,263.4,,,,,,,,,,,,
Amarillo,Wichita Falls,Red River Valley,485,336,118,Wichita Falls,485,118,114,,,,,,,,,,,,
Amarillo,Enid,Hereford,7100,554,551,Panhandle,7100,551,336,,,,,,,,,,,,
Amarillo,Wellington,Hereford,7100,554,551,Panhandle,7100,551,238,,,,,,,,,,,,
Amarillo,La Junta,Boise City,7105,0,236,La Junta,7300,534,555,,,,,,,,,,,,
Pueblo,La Junta,Pueblo,7304,618,555,,,,,,,,,,,,,,,,
Chicago,North La Crosse,Chciago,71,0,38,Aurora,3,38.4,300.2,,,,,,,,,,,,
Galesburg,North La Crosse,Barstow,6,1,97,Aurora,3,142.3,300.2,,,,,,,,,,,,
Galesburg,Brookfield,Brookfield,11,162.4,263.4,Brookfield,15,0,104.1,,,,,,,,,,,,
Galesburg,Kansas City,Brookfield,11,162.4,263.4,Brookfield,15,0,177.7,,,,,,,,,,,,
Ft. Madison,Kansas City,Marceline,7000,234.3,444.2,,,,,,,,,,,,,,,,
Kansas City,Lincoln,St. Joseph,3000,0,206,,,,,,,,,,,,,,,,
Creston,Lincoln,Creston,1,393,475,Creston,2,0,60,,,,,,,,,,,,
McCook,Lincoln,Hastings,2,287.8,59.6,,,,,,,,,,,,,,,,
McCook,Denver,Akron,2,287.8,454.9,,,,,,,,,,,,,,,,
Sterling,Denver,Brush,21,115.1,150,,,,,,,,,,,,,,,,
Sterling,Alliance,Angora,21,115,0,,,,,,,,,,,,,,,,
Cheyenne,Casper,Canyon,5,103,133,Casper,5,133,202.2,,,,,,,,,,,,
Casper,Greybull,Casper,5,202.2,403.9,,,,,,,,,,,,,,,,
Sheridan,Forsyth,Big Horn,4,699,825,Forsyth,40,210,124,,,,,,,,,,,,
East Dilworth,Northtown,Staples,25,250,14,,,,,,,,,,,,,,,,
East Dilworth,Willmar,Morris,22,212.3,102,,,,,,,,,,,,,,,,
East Dilworth,Mandan,KO,26,0,31,Jamestown,26,31,200,,,,,,,,,,,,
East Dilworth,Minot,KO,26,0,31,KO,24,3,24,KO,34,41,226,KO,33,196,203,,,,
Grand Forks,Minot,Devils Lake,33,0,196.3,KO,33,196.3,203.2,,,,,,,,,,,,
Glasgow,Minot,Glasgow,35,278,0,,,,,,,,,,,,,,,,
Whitefish,Havre,Hi Line,36,1218,965,Milk River,35,434,430,,,,,,,,,,,,
Whitefish,Spokane,Kootenai River,36,1217.5,1403.3,Kootenai River,45,2.9,71.5,,,,,,,,,,,,
Laurel,Great Falls,Laurel,362,0.74,224.5,,,,,,,,,,,,,,,,
Phoenix,Ash Fork,Phoenix,7208,194,0,,,,,,,,,,,,,,,,
Winslow,Ash Fork,Seligman,7200,286,378,Phoenix,7206,378,384,Phoenix,7207,384,401,,,,,,,,
El Paso,Belen,El Paso,7300,1156,932,,,,,,,,,,,,,,,,
Clovis,Carlsbad,Carlsbad,7108,0,183,,,,,,,,,,,,,,,,
Raton,La Junta,Raton,7300,659.9,554.9,,,,,,,,,,,,,,,,
Slaton,Clovis,Slaton,7107,690,658,,,,,,,,,,,,,,,,
Amarillo,Clovis,Hereford,7100,554,658,,,,,,,,,,,,,,,,
Amarillo,Texline,Dalhart,485,335.7,452.9,,,,,,,,,,,,,,,,
Amarillo,Boise City,Boise City,7105,0,123,,,,,,,,,,,,,,,,
La Junta,Boise City,La Junta,7300,555,534,Boise City,7105,236,123,,,,,,,,,,,,
Greybull,Laurel,Casper,5,403.9,514.9,,,,,,,,,,,,,,,,
Sterling,Guernsey,Angora,21,115,34,Valley,5,0,95,,,,,,,,,,,,
Alliance,Guernsey,Angora,21,0,34,Valley,5,0,95,,,,,,,,,,,,
McCook,Sterling,Akron,2,287.8,454.9,Brush,21,148,138.6,,,,,,,,,,,,
Cheyenne,Guernsey,Canyon,5,103,95,,,,,,,,,,,,,,,,
Trinidad,Texline,Twin Peaks,477,208,453,,,,,,,,,,,,,,,,
Trinidad,Pueblo,Spanish Peaks,477,208,120,,,,,,,,,,,,,,,,
Denver,Pueblo,Pikes Peak,477,0,119,,,,,,,,,,,,,,,,
Kansas City,Wellington,Emporia,7100,0,238,,,,,,,,,,,,,,,,
Newton,Arkansas City,Arkansas City,7400,185,263,,,,,,,,,,,,,,,,
Lincoln,Ravenna,Ravenna,4,0,128.4,,,,,,,,,,,,,,,,
Sioux City,Wilmar,Marshall,197,222,0,,,,,,,,,,,,,,,,
Aberdeen,Hettinger,Mobridge,2005,707,928,,,,,,,,,,,,,,,,
Mandan,Glendive,Dickinson,39,0,216,,,,,,,,,,,,,,,,
Glendive,Forsyth,Forsyth,40,0,124,,,,,,,,,,,,,,,,
Forsyth,Hettinger,Forsyth,40,124,39,Hettinger,2005,1079,928,,,,,,,,,,,,
Aberdeen,Wilmar,Appleton,2005,707,677,Appleton,2004,676,579.4,Appleton,200,21.4,0,Morris,22,132,102,,,,
Wilmar,Northtown,Morriss,22,102,98,Wayzata,22,98,9.5,,,,,,,,,,,,
East Dilworth,Staples,Staples,25,250.3,148,,,,,,,,,,,,,,,,
North La Crosse,Northtown,St. Croix,3,300.2,410.5,St. Paul,25,1,14,,,,,,,,,,,,
Superior,Cass Lake,Lakes,28,5.4,13.3,Lakes,30,13.3,164.9,,,,,,,,,,,,
Superior,Northtown,Lakes,29,5,12,Hinckley,2108,11.8,19.4,Hinckley,28,19.4,136.9,,,,,,,,
Grand Forks,Cass Lake,Grand Forks,32,109.9,80.9,Grand Forks,31,0,106,,,,,,,,,,,,
Grand Forks,Noyes,Grand Forks,32,109.9,82,Noyes,245,2,91,,,,,,,,,,,,
Superior,Staples,Lakes,29,5,35,Brainerd,27,27.8,147.8,,,,,,,,,,,,
North La Crosse,Savanna,Aurora,3,300.2,143.7,,,,,,,,,,,,,,,,
Chicago,Savanna,Chicago,71,0,38.4,Aurora,3,38.4,143.7,,,,,,,,,,,,
Creston,Burlington,Ottumwa,1,393,205,,,,,,,,,,,,,,,,
Galesburg,Burlington,Ottumwa,1,162,205,,,,,,,,,,,,,,,,
Galesburg,Creston,Ottumwa,1,162,393,,,,,,,,,,,,,,,,
Galesburg,Chicago,Mendota,1,162.4,41,Chicago,71,41,0,,,,,,,,,,,,
Galesburg,Quincy,Brookfiled,11,162.4,258.5,,,,,,,,,,,,,,,,
Brookfield,Quincy,Brookfiled,15,104.1,5.7,Brookfiled,11,263,258.5,,,,,,,,,,,,
Brookfield,Kansas City,Brookfiled,15,104.1,106.86,Brookfiled,17,106.86,193.799,Brookfield,18,216.2,224.6,,,,,,,,
Ft. Madison,Chicago,Chillicothe,7000,234.3,0,,,,,,,,,,,,,,,,
Quincy,Ft. Madison,Brookfiled,11,259,263,Hannibal,14,136.9,200,,,,,,,,,,,,
Quincy,Lindenwood,Brookfiled,11,259,263,Hannibal,14,137,7.1,,,,,,,,,,,,
Beardstown,Centralia,Beardstown,12,116,102,Beardstown,13,0,121,,,,,,,,,,,,
Centralia,Paducah,Beardstown,13,121,187,Beardstown,13,203,226,,,,,,,,,,,,
Enid,Waynoka,Panhandle,7100,336,346,,,,,,,,,,,,,,,,
Kansas City,Ft. Scott,Ft Scott,16,2.7,0,,,,,,,,,,,,,,,,
Lafayette,Avondale,Lafayette,1281,144.5,12,,,,,,,,,,,,,,,,
Silsbee,Lafayette,Lafayette,1281,205.2,144.5,,,,,,,,,,,,,,,,
Houston,Lafayette,Lafayette,1281,205.2,144.5,,,,,,,,,,,,,,,,
Alliance,Edgemont,Butte,4,365.6,476.1,,,,,,,,,,,,,,,,
Edgemont,Gillette,Black Hills,4,476.1,597.2,,,,,,,,,,,,,,,,
Sheridan,Gillette,Big Horn,4,699,597,,,,,,,,,,,,,,,,
Laurel,Sheridan,Big Horn,4,825,699,,,,,,,,,,,,,,,,
Gillette,Guernsey,Black Hills,4,597.2,587,Orin,186,0,133.2,Canyon,5,127,95,,,,,,,,
Alliance,Ravenna,Sand Hills,4,366,128,,,,,,,,,,,,,,,,
Great Falls,Shelby,Sweet Grass,354,0.9,100,,,,,,,,,,,,,,,,
Havre,Glasgow,Milk River,35,430,278,,,,,,,,,,,,,,,,
Forsyth,Laurel,Forsyth,40,124,210,,,,,,,,,,,,,,,,
Slaton,Sweetwater,Slaton,7106,690,460,,,,,,,,,,,,,,,,
Slaton,Amarillo,Slaton,7106,690,674,Plainview,7106,674,571,Hereford,7100,571,554,,,,,,,,
Clovis,Childress,Hereford,7100,658,554,Red River Valley,485,336,220,,,,,,,,,,,,
Childress,Fort Worth,Red River Valley,485,220,118,Wichita Falls,485,118,0,,,,,,,,,,,,
Wichita Falls,Fort Worth,Wichita Falls,485,114,0,,,,,,,,,,,,,,,,
Alliance,Gainsville,Ft. Worth,7500,365,411,,,,,,,,,,,,,,,,
Casper,Guernsey,Casper,5,202.2,127,Canyon,5,127,95,,,,,,,,,,,,
Cheyenne,Guernsey,Canyon,5,103,95,,,,,,,,,,,,,,,,
La Junta,Dodge City,La Junta,7300,555,353,,,,,,,,,,,,,,,,
Newton,Dodge City,La Junta,7300,185,353,,,,,,,,,,,,,,,,
Kansas City,Newton,Emporia,7100,1.6,124.7,La Junta,7300,125,185,,,,,,,,,,,,
Kansas City,Arkansas City,Emporia,7100,1.6,185.3,Douglas,7103,185.3,249.7,Arkansas City,7400,250,263,,,,,,,,
Lincoln,Sioux City,Creston,2,60,35,,,,,,,,,,,,,,,,
Grand Forks,East Dilworth,Hillsboro,220,98,24,KO,26,5.8,0,,,,,,,,,,,,
Beardstown,Galesburg,Beardstown,12,116,160,,,,,,,,,,,,,,,,
Beardstown,Lindenwood,Beardstown,12,116,102,Beardstown,13,0,74,,,,,,,,,,,,
