BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,SPEED,Curvature (degrees),LENGTH (M)
6.75,55.17,255657.6,0.0,17.8816,0.0,77924.24279999999
55.17,55.26,475.1999999999805,0.52,17.8816,0.0,144.84059999999405
55.26,55.33,369.6000000000015,0.52,17.8816,10.0,112.65380000000046
55.33,55.34,52.80000000002701,0.52,17.8816,0.0,16.09340000000823
55.34,55.4,316.7999999999745,0.52,17.8816,6.0,96.56039999999221
55.4,55.42,105.60000000001651,0.52,17.8816,0.0,32.18680000000503
55.42,55.48,316.7999999999745,0.52,17.8816,7.083333333,96.56039999999221
55.48,55.5,105.60000000001651,0.52,17.8816,0.0,32.18680000000503
55.5,55.58,422.399999999991,0.52,17.8816,6.0,128.74719999999724
55.58,55.74,844.8000000000195,0.52,17.8816,0.0,257.49440000000595
55.74,55.82,422.399999999991,0.52,17.8816,2.0,128.74719999999724
55.82,55.94,633.5999999999865,0.52,17.8816,0.0,193.12079999999588
55.94,55.96,105.60000000001651,0.52,17.8816,6.0,32.18680000000503
55.96,56.5,2851.1999999999953,0.52,17.8816,0.0,869.0435999999986
56.5,56.69,1003.199999999988,0.52,17.8816,12.5,305.7745999999963
56.69,56.73,211.1999999999955,0.52,17.8816,11.5,64.37359999999862
56.73,56.95,1161.6000000000315,0.52,17.8816,4.25,354.0548000000096
56.95,57.2,1320.0,0.82,17.8816,4.25,402.335
57.2,57.24,211.1999999999955,0.82,17.8816,0.0,64.37359999999862
57.24,57.5,1372.7999999999895,0.82,17.8816,6.25,418.42839999999677
57.5,57.52,105.60000000001651,1.61,17.8816,6.25,32.18680000000503
57.52,57.58,316.7999999999745,1.61,17.8816,0.0,96.56039999999221
57.58,57.65,369.6000000000015,1.61,17.8816,5.33,112.65380000000046
57.65,57.7,264.0000000000225,0.75,17.8816,5.33,80.46700000000686
57.7,58.0,1583.999999999985,0.75,17.8816,0.0,482.8019999999954
58.0,58.28,1478.400000000006,0.95,17.8816,0.0,450.61520000000183
58.28,58.41,686.399999999976,0.95,17.8816,3.0,209.21419999999267
58.41,58.58,897.600000000009,0.95,17.8816,0.0,273.58780000000274
58.58,58.78,1056.000000000015,0.95,17.8816,5.25,321.86800000000454
58.78,58.89,580.799999999997,0.95,17.8816,0.0,177.02739999999906
58.89,58.92,158.400000000006,0.95,17.8816,2.0,48.28020000000183
58.92,59.0,422.399999999991,0.95,17.8816,0.0,128.74719999999724
59.0,59.08,422.399999999991,1.2,17.8816,0.0,128.74719999999724
59.08,59.17,475.200000000018,1.2,17.8816,6.33,144.84060000000548
59.17,59.48,1636.7999999999745,1.2,17.8816,0.0,498.8953999999922
59.48,59.7,1161.6000000000315,1.2,17.8816,2.0,354.0548000000096
59.7,60.0,1583.999999999985,1.2,17.8816,0.0,482.8019999999954
60.0,60.8,4223.999999999985,1.25,17.8816,0.0,1287.4719999999954
60.8,60.84,211.20000000003301,1.25,17.8816,2.133333333,64.37360000001006
60.84,60.85,52.799999999989495,-0.3,17.8816,2.133333333,16.093399999996798
60.85,61.0,791.9999999999925,-0.3,17.8816,0.0,241.4009999999977
61.0,61.35,1848.0000000000075,1.01,17.8816,0.0,563.2690000000023
61.35,61.63,1478.400000000006,0.87,17.8816,0.0,450.61520000000183
61.63,61.7,369.6000000000015,0.87,17.8816,2.0,112.65380000000046
61.7,61.75,263.999999999985,0.02,17.8816,2.0,80.46699999999542
61.75,61.87,633.5999999999865,0.02,17.8816,0.0,193.12079999999588
61.87,62.0,686.4000000000135,0.02,17.8816,3.0,209.2142000000041
62.0,62.08,422.399999999991,1.2,17.8816,3.0,128.74719999999724
62.08,62.59,2692.800000000027,1.2,17.8816,0.0,820.7634000000082
62.59,62.71,633.5999999999865,1.2,17.8816,2.0,193.12079999999588
62.71,62.83,633.5999999999865,1.2,17.8816,0.0,193.12079999999588
62.83,63.0,897.600000000009,0.66,17.8816,0.0,273.58780000000274
63.0,63.38,2006.4000000000135,1.1,17.8816,0.0,611.5492000000041
63.38,63.41,158.3999999999685,1.1,17.8816,3.0,48.280199999990394
63.41,63.5,475.200000000018,0.49,17.8816,3.0,144.84060000000548
63.5,63.54,211.1999999999955,0.49,17.8816,0.0,64.37359999999862
63.54,63.86,1689.6000000000015,0.75,17.8816,0.0,514.9888000000004
63.86,64.0,739.200000000003,0.75,17.8816,4.0,225.30760000000092
64.0,64.2,1056.000000000015,-1.0,17.8816,0.0,321.86800000000454
64.2,64.32,633.599999999949,-1.0,17.8816,2.95,193.12079999998443
64.32,64.4,422.40000000006603,-1.0,17.8816,0.0,128.74720000002011
64.4,64.53,686.399999999976,0.0,17.8816,0.0,209.21419999999267
64.53,64.8,1425.599999999979,-0.43,17.8816,0.0,434.52179999999356
64.8,64.83,158.400000000006,-0.43,17.8816,3.0,48.28020000000183
64.83,64.97,739.200000000003,-0.65,17.8816,3.0,225.30760000000092
64.97,65.0,158.400000000006,-0.65,17.8816,0.0,48.28020000000183
65.0,65.21,1108.799999999967,0.6,17.8816,0.0,337.9613999999899
65.21,65.4,1003.200000000063,1.5,17.8816,0.0,305.7746000000192
65.4,65.45,263.999999999985,0.6,17.8816,0.0,80.46699999999542
65.45,65.52,369.599999999964,0.6,17.8816,3.016666667,112.65379999998902
65.52,65.54,105.60000000005402,0.6,17.8816,0.0,32.18680000001646
65.54,65.85,1636.799999999937,1.2,17.8816,0.0,498.8953999999808
65.85,66.0,792.00000000003,-0.58,17.8816,0.0,241.40100000000913
66.0,66.15,792.00000000003,0.32,17.8816,0.0,241.40100000000913
66.15,66.4,1320.0,1.35,17.8816,0.0,402.335
66.4,66.58,950.399999999961,-0.15,17.8816,0.0,289.6811999999881
66.58,66.64,316.800000000012,-0.15,17.8816,2.183333333,96.56040000000365
66.64,66.66,105.59999999997899,-0.55,17.8816,2.183333333,32.186799999993596
66.66,66.79,686.400000000051,-0.55,17.8816,0.0,209.21420000001555
66.79,66.9,580.799999999997,-1.22,17.8816,0.0,177.02739999999906
66.9,67.0,527.99999999997,-1.22,17.8816,4.0,160.93399999999085
67.0,67.16,844.799999999982,-1.75,17.8816,0.0,257.49439999999447
67.16,67.35,1003.199999999988,-1.75,17.8816,4.416666667,305.7745999999963
67.35,67.5,792.00000000003,-1.75,17.8816,0.0,241.40100000000913
67.5,67.52,105.59999999997899,0.88,17.8816,0.0,32.186799999993596
67.52,67.6,422.399999999991,0.88,17.8816,3.616666667,128.74719999999724
67.6,67.67,369.600000000039,0.88,17.8816,0.0,112.65380000001188
67.67,67.78,580.799999999997,0.88,17.8816,2.8,177.02739999999906
67.78,67.98,1056.000000000015,0.88,17.8816,0.0,321.86800000000454
67.98,68.0,105.59999999997899,0.88,17.8816,3.95,32.186799999993596
68.0,68.18,950.400000000036,0.2,17.8816,3.95,289.68120000001096
68.18,68.25,369.599999999964,0.2,17.8816,0.0,112.65379999998902
68.25,68.58,1742.399999999991,0.87,17.8816,0.0,531.0821999999972
68.58,68.6,105.59999999997899,0.87,17.8816,3.2,32.186799999993596
68.6,68.71,580.799999999997,1.23,17.8816,3.2,177.02739999999906
68.71,68.89,950.400000000036,1.23,17.8816,0.0,289.68120000001096
68.89,69.0,580.799999999997,1.23,17.8816,0.0,177.02739999999906
69.0,69.3,1583.999999999985,0.19,17.8816,0.0,482.8019999999954
69.3,69.48,950.400000000036,0.53,17.8816,0.0,289.68120000001096
69.48,69.51,158.400000000006,1.18,17.8816,0.0,48.28020000000183
69.51,69.54,158.400000000006,1.18,17.8816,3.0,48.28020000000183
69.54,69.65,580.799999999997,1.18,17.8816,0.0,177.02739999999906
69.65,69.73,422.399999999991,1.18,17.8816,4.25,128.74719999999724
69.73,69.89,844.799999999982,1.26,17.8816,4.25,257.49439999999447
69.89,70.0,580.799999999997,1.26,17.8816,0.0,177.02739999999906
70.0,70.15,792.00000000003,1.26,17.8816,4.5,241.40100000000913
70.15,70.3,791.999999999955,1.26,17.8816,0.0,241.40099999998625
70.3,70.52,1161.599999999994,0.09,17.8816,0.0,354.0547999999981
70.52,70.62,528.000000000045,0.5,17.8816,0.0,160.93400000001373
70.62,70.66,211.19999999995798,0.5,17.8816,2.0,64.37359999998719
70.66,70.76,528.000000000045,0.5,17.8816,0.0,160.93400000001373
70.76,70.9,739.200000000003,0.95,17.8816,0.0,225.30760000000092
70.9,71.17,1425.599999999979,0.95,17.8816,2.0,434.52179999999356
71.17,71.2,158.400000000006,0.95,17.8816,0.0,48.28020000000183
71.2,71.48,1478.400000000006,-0.98,17.8816,0.0,450.61520000000183
71.48,71.5,105.59999999997899,-0.98,17.8816,4.883333333,32.186799999993596
71.5,71.53,158.400000000006,0.08,17.8816,4.883333333,48.28020000000183
71.53,71.7,897.600000000009,0.08,17.8816,0.0,273.58780000000274
71.7,71.71,52.79999999995198,0.73,17.8816,0.0,16.093399999985362
71.71,71.79,422.40000000006603,0.73,17.8816,2.0,128.74720000002011
71.79,71.9,580.799999999997,0.73,17.8816,0.0,177.02739999999906
71.9,72.0,527.99999999997,-1.33,17.8816,2.0,160.93399999999085
72.0,72.05,263.999999999985,-1.33,17.8816,0.0,80.46699999999542
72.05,72.36,1636.800000000012,-1.45,17.8816,0.0,498.89540000000363
72.36,72.6,1267.199999999973,-0.52,17.8816,0.0,386.24159999999176
72.6,72.63,158.400000000006,-0.2,17.8816,0.0,48.28020000000183
72.63,72.8,897.600000000009,-0.2,17.8816,4.0,273.58780000000274
72.8,72.84,211.20000000003301,1.11,17.8816,4.0,64.37360000001006
72.84,72.95,580.799999999997,1.11,17.8816,0.0,177.02739999999906
72.95,73.0,263.999999999985,1.11,17.8816,3.883333,80.46699999999542
73.0,73.12,633.600000000024,0.1,17.8816,3.883333,193.1208000000073
73.12,73.14,105.59999999997899,0.1,17.8816,0.0,32.186799999993596
73.14,73.31,897.600000000009,-0.17,17.8816,0.0,273.58780000000274
73.31,73.35,211.19999999995798,-0.75,17.8816,0.0,64.37359999998719
73.35,73.45,528.000000000045,-0.75,17.8816,0.0,160.93400000001373
73.45,73.46,52.79999999995198,-0.75,17.8816,0.0,16.093399999985362
73.46,73.5,211.20000000003301,-0.75,17.8816,3.45,64.37360000001006
73.5,73.6,527.99999999997,1.15,17.8816,3.45,160.93399999999085
73.6,73.75,792.00000000003,1.15,17.8816,0.0,241.40100000000913
73.75,73.88,686.399999999976,0.06,17.8816,0.0,209.21419999999267
73.88,73.98,528.000000000045,0.06,17.8816,4.066667,160.93400000001373
73.98,74.0,105.59999999997899,0.06,17.8816,0.0,32.186799999993596
74.0,74.25,1320.0,1.31,17.8816,0.0,402.335
74.25,74.27,105.59999999997899,0.3,17.8816,0.0,32.186799999993596
74.27,74.33,316.800000000012,0.3,17.8816,3.216667,96.56040000000365
74.33,74.4,369.600000000039,0.3,17.8816,0.0,112.65380000001188
74.4,74.6,1055.99999999994,1.37,17.8816,0.0,321.8679999999817
74.6,74.75,792.00000000003,1.37,17.8816,2.0,241.40100000000913
74.75,74.9,792.00000000003,0.9,17.8816,2.0,241.40100000000913
74.9,75.0,527.99999999997,0.9,17.8816,0.0,160.93399999999085
75.0,75.3,1583.999999999985,1.35,17.8816,0.0,482.8019999999954
75.3,75.55,1320.0,0.55,17.8816,0.0,402.335
75.55,75.7,792.00000000003,-0.85,17.8816,0.0,241.40100000000913
75.7,75.87,897.600000000009,0.58,17.8816,2.0,273.58780000000274
75.87,75.95,422.399999999991,1.25,17.8816,2.0,128.74719999999724
75.95,76.0,263.999999999985,1.25,17.8816,0.0,80.46699999999542
76.0,76.42,2217.600000000009,0.9,17.8816,0.0,675.9228000000027
76.42,76.49,369.599999999964,0.9,17.8816,0.5,112.65379999998902
76.49,76.5,52.80000000002701,0.9,17.8816,0.0,16.09340000000823
76.5,76.6,527.99999999997,-0.49,17.8816,0.0,160.93399999999085
76.6,76.8,1056.000000000015,-0.49,17.8816,2.35,321.86800000000454
76.8,77.25,2376.000000000015,-0.95,17.8816,2.35,724.2030000000045
77.25,77.3,263.999999999985,-1.15,17.8816,2.35,80.46699999999542
77.3,77.62,1689.600000000039,-1.15,17.8816,0.0,514.9888000000119
77.62,77.67,263.999999999985,-0.95,17.8816,2.25,80.46699999999542
77.67,78.13,2428.799999999967,-0.95,17.8816,0.0,740.29639999999
78.13,78.3,897.600000000009,-1.16,17.8816,0.0,273.58780000000274
78.3,78.43,686.400000000051,-1.16,17.8816,2.0,209.21420000001555
78.43,78.46,158.39999999993097,-0.4,17.8816,2.0,48.280199999978954
78.46,78.55,475.200000000018,-0.4,17.8816,0.0,144.84060000000548
78.55,78.64,475.200000000018,-0.4,17.8816,6.4,144.84060000000548
78.64,78.89,1320.0,0.14,17.8816,6.4,402.335
78.89,78.92,158.400000000006,0.81,17.8816,6.4,48.28020000000183
78.92,79.0,422.399999999991,0.81,17.8816,0.0,128.74719999999724
79.0,79.08,422.399999999991,0.29,17.8816,0.0,128.74719999999724
79.08,79.15,369.600000000039,0.29,17.8816,2.0,112.65380000001188
79.15,79.34,1003.199999999988,0.29,17.8816,0.0,305.7745999999963
79.34,79.44,527.99999999997,0.29,17.8816,3.0,160.93399999999085
79.44,79.49,263.999999999985,0.29,17.8816,0.0,80.46699999999542
79.49,79.64,792.00000000003,1.04,17.8816,0.0,241.40100000000913
79.64,79.75,580.799999999997,1.04,17.8816,3.166667,177.02739999999906
79.75,79.76,52.80000000002701,1.1,17.8816,3.166667,16.09340000000823
79.76,79.92,844.799999999982,1.1,17.8816,0.0,257.49439999999447
79.92,79.96,211.19999999995798,1.1,17.8816,4.083333,64.37359999998719
79.96,80.15,1003.200000000063,0.78,17.8816,4.083333,305.7746000000192
80.15,80.21,316.799999999937,0.78,17.8816,0.0,96.56039999998079
80.21,80.41,1056.000000000015,0.33,17.8816,0.0,321.86800000000454
80.41,80.54,686.400000000051,0.29,17.8816,0.0,209.21420000001555
80.54,80.8,1372.799999999952,0.96,17.8816,0.0,418.42839999998534
80.8,81.1,1583.999999999985,0.96,17.8816,3.0,482.8019999999954
81.1,81.11,52.80000000002701,1.33,17.8816,3.0,16.09340000000823
81.11,81.35,1267.199999999973,1.33,17.8816,0.0,386.24159999999176
81.35,81.54,1003.200000000063,0.84,17.8816,0.0,305.7746000000192
81.54,81.66,633.599999999949,0.84,17.8816,2.0,193.12079999998443
81.66,81.77,580.799999999997,0.84,17.8816,0.0,177.02739999999906
81.77,82.0,1214.400000000021,1.21,17.8816,0.0,370.1482000000064
82.0,82.22,1161.599999999994,0.65,17.8816,0.0,354.0547999999981
82.22,82.6,2006.399999999976,-0.05,17.8816,0.0,611.5491999999927
82.6,82.8,1056.000000000015,0.46,17.8816,0.0,321.86800000000454
82.8,83.0,1056.000000000015,1.34,17.8816,0.0,321.86800000000454
83.0,83.1,527.99999999997,0.5,17.8816,0.0,160.93399999999085
83.1,83.17,369.600000000039,0.5,17.8816,1.25,112.65380000001188
83.17,83.2,158.400000000006,0.5,17.8816,0.0,48.28020000000183
83.2,83.4,1056.000000000015,-0.7,17.8816,0.0,321.86800000000454
83.4,83.7,1583.999999999985,-1.35,17.8816,0.0,482.8019999999954
83.7,83.81,580.799999999997,0.0,17.8816,0.0,177.02739999999906
83.81,84.01,1056.000000000015,0.4,17.8816,0.0,321.86800000000454
84.01,84.37,1900.799999999997,0.0,17.8816,0.0,579.3623999999991
84.37,84.66,1531.199999999958,0.35,17.8816,0.0,466.70859999998714
84.66,84.87,1108.800000000042,1.31,17.8816,0.0,337.9614000000128
84.87,84.95,422.399999999991,0.44,17.8816,0.0,128.74719999999724
84.95,84.99,211.19999999995798,0.44,17.8816,1.75,64.37359999998719
84.99,85.0,52.80000000002701,0.44,17.8816,0.0,16.09340000000823
85.0,85.31,1636.800000000012,0.57,17.8816,0.0,498.89540000000363
85.31,85.5,1003.199999999988,1.3,17.8816,0.0,305.7745999999963
85.5,85.79,1531.200000000033,-0.8,17.8816,0.0,466.70860000001005
85.79,86.0,1108.799999999967,-1.21,17.8816,0.0,337.9613999999899
86.0,86.2,1056.000000000015,0.01,17.8816,0.0,321.86800000000454
86.2,86.48,1478.400000000006,-0.97,17.8816,0.0,450.61520000000183
86.48,86.65,897.600000000009,-0.57,17.8816,0.0,273.58780000000274
86.65,86.86,1108.799999999967,-1.6,17.8816,0.0,337.9613999999899
86.86,87.0,739.200000000003,0.05,17.8816,0.0,225.30760000000092
87.0,87.0065,34.320000000013806,0.0,17.8816,0.0,10.460710000004207
87.0065,87.1005,496.3199999999688,-0.08,17.8816,0.0,151.2779599999905
87.1005,87.2717,903.9359999999942,0.0,17.8816,0.0,275.5190079999982
87.2717,87.4238,803.0880000000229,0.25,17.8816,0.0,244.78061400000698
87.4238,87.4998,401.2799999999652,0.9,17.8816,0.0,122.30983999998938
87.4998,87.6711,904.4640000000118,1.27,17.8816,0.0,275.67994200000356
87.6711,87.7639,489.9840000000586,0.22,17.8816,0.0,149.34675200001786
87.7639,87.8398,400.75199999994766,0.75,17.8816,0.0,122.14890599998404
87.8398,87.9907,796.7520000000377,1.12,17.8816,0.0,242.84940600001147
87.9907,88.0,49.10399999997935,0.5,17.8816,0.0,14.966861999993705
88.0,88.0463,244.46400000001177,0.5,17.8816,0.0,74.51244200000359
88.0463,88.087,214.89600000000564,0.0,17.8816,0.0,65.50013800000171
88.087,88.1403,281.42399999996314,-0.65,17.8816,0.0,85.77782199998876
88.1403,88.15,51.21600000004946,-0.91,17.8816,0.0,15.610598000015075
88.15,88.4781,1732.367999999958,-0.91,17.8816,2.916667,528.0244539999873
88.4781,88.6,643.6319999999819,-1.0,17.8816,2.916667,196.17854599999447
88.6,88.64,211.20000000003301,-1.0,17.8816,0.0,64.37360000001006
88.64,88.649,47.5200000000018,-1.0,17.8816,5.166667,14.484060000000548
88.649,88.8428,1023.2639999999788,-0.25,17.8816,5.166667,311.8900919999935
88.8428,88.93,460.41600000005246,-0.84,17.8816,5.166667,140.33444800001598
88.93,89.0175,461.999999999955,-0.84,17.8816,0.0,140.81724999998627
89.0175,89.25,1227.600000000009,-1.07,17.8816,0.0,374.17155000000275
89.25,89.27,105.59999999997899,-1.07,17.8816,0.0,32.186799999993596
89.27,89.3001,158.92800000002353,-1.07,17.8816,4.0,48.44113400000717
89.3001,89.33,157.87199999998847,-0.94,17.8816,4.0,48.119265999996486
89.33,89.38,263.999999999985,-0.94,17.8816,0.0,80.46699999999542
89.38,89.46,422.399999999991,-0.94,17.8816,4.0,128.74719999999724
89.46,89.5,211.20000000003301,-0.94,17.8816,0.0,64.37360000001006
89.5,89.5859,453.55199999997467,-0.94,17.8816,6.0833333,138.24230599999228
89.5859,89.7,602.4480000000403,-1.15,17.8816,6.0833333,183.6256940000123
89.7,89.7766,404.4479999999953,-1.15,17.8816,0.0,123.27544399999857
89.7766,89.8669,476.78399999999556,-0.7,17.8816,0.0,145.32340199999865
89.8669,89.942,396.5279999999575,-0.5,17.8816,0.0,120.86143399998704
89.942,89.95,42.24000000005162,0.1,17.8816,0.0,12.874720000015733
89.95,90.0381,465.1679999999851,0.1,17.8816,4.0,141.78285399999547
90.0381,90.1152,407.0880000000079,0.0,17.8816,4.0,124.08011400000241
90.1152,90.14,130.94399999999496,-0.06,17.8816,4.0,39.91163199999846
90.14,90.209,364.3200000000138,-0.06,17.8816,0.0,111.04446000000421
90.209,90.2665,303.599999999949,0.5,17.8816,0.0,92.53704999998445
90.2665,90.3,176.8800000000192,1.17,17.8816,0.0,53.91289000000585
90.3,90.33,158.400000000006,1.17,17.8816,4.283333,48.28020000000183
90.33,90.3601,158.92800000002353,1.17,17.8816,0.0,48.44113400000717
90.3601,90.5888,1207.5360000000182,1.58,17.8816,0.0,368.0560580000055
90.5888,90.7959,1093.487999999984,1.45,17.8816,0.0,333.2943139999951
90.7959,90.8524,298.3199999999988,1.0,17.8816,0.0,90.92770999999964
90.8524,90.8932,215.42399999994814,0.0,17.8816,0.0,65.66107199998419
90.8932,90.949,294.6240000000262,-0.66,17.8816,0.0,89.80117200000797
90.949,91.0427,494.73599999999124,-1.3,17.8816,0.0,150.79515799999731
91.0427,91.1,302.54399999998896,0.5,17.8816,0.0,92.21518199999663
91.1,91.11,52.80000000002701,1.18,17.8816,0.0,16.09340000000823
91.11,91.2,475.200000000018,1.18,17.8816,3.0,144.84060000000548
91.2,91.4042,1078.1760000000008,1.18,17.8816,0.0,328.62722800000023
91.4042,91.4396,186.91199999997707,1.25,17.8816,0.0,56.97063599999301
91.4396,91.4976,306.2400000000366,0.0,17.8816,0.0,93.34172000001115
91.4976,91.6095,590.8319999999549,-0.6,17.8816,0.0,180.08514599998622
91.6095,91.6707,323.13599999999724,0.33,17.8816,0.0,98.49160799999915
91.6707,91.88,1105.1039999999944,1.11,17.8816,0.0,336.8348619999983
91.88,91.9117,167.37600000000384,1.11,17.8816,3.0,51.016078000001166
91.9117,91.9899,412.89600000005066,0.0,17.8816,3.0,125.85038800001544
91.9899,92.0,53.32799999996951,-0.33,17.8816,3.0,16.254333999990706
